UK-AIR ID,EU Site ID,EMEP Site ID,lookupvalue_data,lookup_settelment,Site Name,Environment Type,Zone,Start Date,End Date,Latitude,Longitude,Northing,Easting,Altitude (m),Networks,AURN Pollutants Measured,Site Description
SLH10,,,Slough Town Centre Wellington Street,Slough,Slough Town Centre Wellington Street (Slough),Urban Traffic,South East,31/08/2017,,51.508633,-0.583296,179807,498416,,Locally-managed automatic monitoring,,
SLH12,,,Slough Windmill Bath Road,Slough,Slough Windmill Bath Road (Slough),Urban Traffic,South East,30/08/2017,,51.51223,-0.610393,180171.02,496527.95,,Locally-managed automatic monitoring,,
HARB,,,South Ayrshire Ayr Harbour,South Ayrshire,South Ayrshire Ayr Harbour (South Ayrshire),Urban Traffic,Central Scotland,05/05/2012,,55.470162,-4.633681,622746.05,233617.25,,Locally-managed automatic monitoring,,
AYR,,,South Ayrshire Ayr High St,South Ayrshire,South Ayrshire Ayr High St (South Ayrshire),Urban Traffic,Central Scotland,11/09/2007,,55.464531,-4.631673,622114.8,233720.43,,Locally-managed automatic monitoring,,
CARK,,,South Ayrshire Maybole,South Ayrshire,South Ayrshire Maybole (South Ayrshire),Urban Background,Central Scotland,08/04/2010,08/03/2012,55.350641,-4.694868,609598,229235,,Locally-managed automatic monitoring,,
TARB,,,South Ayrshire Tarbolton,South Ayrshire,South Ayrshire Tarbolton (South Ayrshire),Urban Traffic,Central Scotland,01/01/2009,24/03/2010,55.511047,-4.486286,626951.52,243095.04,,Locally-managed automatic monitoring,,
HB123,,,South Beds Dunstable,Central Bedfordshire,South Beds Dunstable (Central Bedfordshire),Urban Background,Eastern,02/10/2000,28/04/2010,51.885556,-0.520833,221811.08,501901.46,,Locally-managed automatic monitoring,,
GX,,,South Bucks Gerrards Cross,South Buckinghamshire,South Bucks Gerrards Cross (South Buckinghamshire),Urban Traffic,South East,01/04/2001,31/03/2017,51.574108,-0.533309,187156.79,501738.97,,Locally-managed automatic monitoring,,
GIRT,,,South Cambs Girton Rd,South Cambridgeshire,South Cambs Girton Rd (South Cambridgeshire),Urban Traffic,Eastern,13/12/2011,,52.225556,0.087222,260647.07,542660.93,,Locally-managed automatic monitoring,,
MONK,,,South Holland Spalding Monkhouse School,South Holland,South Holland Spalding Monkhouse School (South Holland),Urban Background,East Midlands,07/03/2003,,52.785625,-0.175053,322455.08,523173.84,,Locally-managed automatic monitoring,,
SHOL,,,South Holland Westmere School,South Holland,South Holland Westmere School (South Holland),Rural Background,East Midlands,14/07/1998,,52.772975,0.181633,321718,547269,,Locally-managed automatic monitoring,,
SLC09,,,South Lanarkshire Blantyre,South Lanarkshire,South Lanarkshire Blantyre (South Lanarkshire),Urban Traffic,Central Scotland,09/01/2019,,55.793907,-4.092354,657605,268916,,Locally-managed automatic monitoring,,
SL07,,,South Lanarkshire Cambuslang,South Lanarkshire,South Lanarkshire Cambuslang (South Lanarkshire),Urban Traffic,Glasgow Urban Area,18/02/2015,,55.818802,-4.167073,660519,264319,,Locally-managed automatic monitoring,,
EK0,,,South Lanarkshire East Kilbride,South Lanarkshire,South Lanarkshire East Kilbride (South Lanarkshire),Urban Traffic,Central Scotland,01/01/2008,,55.775278,-4.163611,655669.44,264384.55,,Locally-managed automatic monitoring,,
SL02,,,South Lanarkshire Glespin,South Lanarkshire,South Lanarkshire Glespin (South Lanarkshire),Urban Traffic,Central Scotland,01/01/2010,19/07/2013,55.532447,-3.894541,628154.69,280521.67,,Locally-managed automatic monitoring,,
SL05,,,South Lanarkshire Hamilton,South Lanarkshire,South Lanarkshire Hamilton (South Lanarkshire),Urban Traffic,Central Scotland,01/01/2013,,55.774018,-4.03736,655289,272298,,Locally-managed automatic monitoring,,
SL03,,,South Lanarkshire Lanark,South Lanarkshire,South Lanarkshire Lanark (South Lanarkshire),Urban Traffic,Central Scotland,01/01/2012,,55.673936,-3.775658,643700.54,288427.04,,Locally-managed automatic monitoring,,
SL01,,,South Lanarkshire Raith Interchange,South Lanarkshire,South Lanarkshire Raith Interchange (South Lanarkshire),Urban Traffic,Glasgow Urban Area,01/04/2010,23/04/2014,55.800157,-4.057717,658235.33,271108,,Locally-managed automatic monitoring,,
SLC08,,,South Lanarkshire Raith Interchange 2,South Lanarkshire,South Lanarkshire Raith Interchange 2 (South Lanarkshire),Urban Traffic,Glasgow Urban Area,21/03/2016,,55.798813,-4.058363,658087,271063.1,,Locally-managed automatic monitoring,,
SL04,,,South Lanarkshire Rutherglen,South Lanarkshire,South Lanarkshire Rutherglen (South Lanarkshire),Urban Traffic,Glasgow Urban Area,01/01/2012,,55.828408,-4.218786,661690.5,261113.75,,Locally-managed automatic monitoring,,
SL06,,,South Lanarkshire Uddingston,South Lanarkshire,South Lanarkshire Uddingston (South Lanarkshire),Urban Traffic,Glasgow Urban Area,01/01/2013,,55.818357,-4.081839,660305.7,269657,,Locally-managed automatic monitoring,,
SNCD,,,South Norfolk Cringleford,South Norfolk,South Norfolk Cringleford (South Norfolk),Urban Traffic,Eastern,20/03/2012,20/03/2013,52.604259,1.234645,305632.76,619130.93,,Locally-managed automatic monitoring,,
PENK,,,South Staffordshire Penkridge,South Staffordshire,South Staffordshire Penkridge (South Staffordshire),Urban Traffic,West Midlands,01/01/2010,24/06/2020,52.722222,-2.1025,313846.33,393174.04,,Locally-managed automatic monitoring,,
STBL,,,South Tyneside Boldon Lane,South Tyneside,South Tyneside Boldon Lane (South Tyneside),Urban Traffic,Tyneside,01/01/2008,,54.973611,-1.44,564476.27,435944.81,,Locally-managed automatic monitoring,,
STY2,,,South Tyneside Edinburgh Road,South Tyneside,South Tyneside Edinburgh Road (South Tyneside),Urban Traffic,Tyneside,05/10/2010,,54.966667,-1.469444,563688.85,434065.91,,Locally-managed automatic monitoring,,
STY3,,,South Tyneside Tyne Dock,South Tyneside,South Tyneside Tyne Dock (South Tyneside),Urban Industrial,Tyneside,02/10/2010,,54.981111,-1.451111,565305.23,435227.03,,Locally-managed automatic monitoring,,
SH4,,,Southampton - Bitterne,Southampton,Southampton - Bitterne (Southampton),Urban Background,Southampton Urban Area,01/01/2009,02/01/2014,50.917806,-1.375582,113334.9,443990.03,,Locally-managed automatic monitoring,,
SH2,,,Southampton - Redbridge,Southampton,Southampton - Redbridge (Southampton),Urban Traffic,Southampton Urban Area,01/01/2008,07/04/2014,50.921744,-1.467165,113722.38,437549.06,,Locally-managed automatic monitoring,,
SH3,,,Southampton Onslow Road,Southampton,Southampton Onslow Road (Southampton),Urban Traffic,Southampton Urban Area,24/03/2020,,50.912778,-1.399722,112761.69,442297.66,,Locally-managed automatic monitoring,,
SH5,,,Southampton Victoria Road,Southampton,Southampton Victoria Road (Southampton),Urban Traffic,Southampton Urban Area,24/03/2020,,50.898056,-1.379167,111136.5,443756.49,,Locally-managed automatic monitoring,,
SE002,,,Southend Bell Junction,Southend-on-Sea,Southend Bell Junction (Southend-on-Sea),Urban Traffic,Southend Urban Area,09/02/2020,,51.557127,0.699421,187702.35,587226.35,,Locally-managed automatic monitoring,,
SE001,,,Southend Victoria Avenue,Southend-on-Sea,Southend Victoria Avenue (Southend-on-Sea),Urban Traffic,Southend Urban Area,09/05/2019,07/07/2020,51.550711,0.70337,186999.1,587526.4,,Locally-managed automatic monitoring,,
SK6,,,Southwark - Elephant and Castle,Southwark,Southwark - Elephant and Castle (Southwark),Urban Background,Greater London Urban Area,23/01/2013,,51.493156,-0.101527,178843.05,531893.05,,Locally-managed automatic monitoring,,
SK7,,,Southwark - Heygate,Southwark,Southwark - Heygate (Southwark),Urban Background,Greater London Urban Area,18/09/2014,11/11/2015,51.492981,-0.098538,178829.05,532101.05,,Locally-managed automatic monitoring,,
SK8,,,Southwark - Tower Bridge Road,Southwark,Southwark - Tower Bridge Road (Southwark),Not Available,Greater London Urban Area,01/07/2019,,51.501391,-0.078203,179801.05,533488.05,,Locally-managed automatic monitoring,,
SBC01,,,Spelthorne Sunbury Cross,Spelthorne,Spelthorne Sunbury Cross (Spelthorne),Urban Background,Greater London Urban Area,10/01/2017,,51.42025,-0.418515,170200,510065,,Locally-managed automatic monitoring,,
HB124,,,St Albans Fleetville,St Albans,St Albans Fleetville (St Albans),Urban Background,Eastern,07/07/1996,29/03/2011,51.752778,-0.313056,207355.53,516542.73,,Locally-managed automatic monitoring,,
STH5,,,St Helens Borough Road,St. Helens,St Helens Borough Road (St. Helens),Urban Traffic,Liverpool Urban Area,01/01/2013,,53.448333,-2.753056,394883.01,350083.55,,Locally-managed automatic monitoring,,
STH4,,,St Helens Newton-le-Willows High Street,St. Helens,St Helens Newton-le-Willows High Street (St. Helens),Urban Traffic,North West & Merseyside,01/01/2011,,53.4575,-2.619444,395817.44,358966.08,,Locally-managed automatic monitoring,,
STH2,,,St Helens Newton-le-Willows Southworth Road,St. Helens,St Helens Newton-le-Willows Southworth Road (St. Helens),Urban Traffic,North West & Merseyside,01/01/2008,,53.456111,-2.603056,395653.58,360052.93,,Locally-managed automatic monitoring,,
WOLV005,,,St Peter's NOx,Wolverhampton,St Peter's NOx (Wolverhampton),Not Available,West Midlands Urban Area,01/01/2012,,52.58816,-2.128922,298936.35,391362.71,,Locally-managed automatic monitoring,,
WOLV006,,,St Peter's PM10,Wolverhampton,St Peter's PM10 (Wolverhampton),Not Available,West Midlands Urban Area,01/01/2012,,52.59,-2.131,299141.28,391222.3,,Locally-managed automatic monitoring,,
WOLV003,,,Stafford Road,Wolverhampton,Stafford Road (Wolverhampton),Not Available,West Midlands Urban Area,01/01/2004,,52.61752,-2.130506,302202.47,391261.31,,Locally-managed automatic monitoring,,
HOPE,,,Stanford-le-Hope Roadside,Thurrock,Stanford-le-Hope Roadside (Thurrock),Urban Traffic,Eastern,22/01/2008,,51.518167,0.439548,182737.17,569358.49,,Locally-managed automatic monitoring,,
UT4,,,Stansted Hall,Uttlesford,Stansted Hall (Uttlesford),Rural Background,Eastern,01/01/2011,31/12/2011,51.894145,0.212594,224045.89,552346.05,,Locally-managed automatic monitoring,,
STAT,,,Station Road,North Lincolnshire,Station Road (North Lincolnshire),Not Available,Yorkshire & Humberside,18/08/2010,15/03/2011,53.587953,-0.643007,411008,489924,,Locally-managed automatic monitoring,,
HB005,,,Stevenage Lytton Way,Stevenage,Stevenage Lytton Way (Stevenage),Urban Traffic,Eastern,01/01/2000,14/11/2018,51.900528,-0.205111,223964.62,523588.66,,Locally-managed automatic monitoring,,
HB015,,,Stevenage St Georges Way,Stevenage,Stevenage St Georges Way (Stevenage),Urban Traffic,Eastern,20/11/2018,,51.903594,-0.200044,224314.2,523928.8,,Locally-managed automatic monitoring,,
STRL,,,Stirling Craig's Roundabout,Stirling,Stirling Craig's Roundabout (Stirling),Urban Traffic,North East Scotland,01/01/2009,,56.11472,-3.932178,693012,279955,,Locally-managed automatic monitoring,,
STK7,,,Stockport Cheadle A34,Stockport,Stockport Cheadle A34 (Stockport),Urban Traffic,Greater Manchester Urban Area,01/04/2016,,53.391717,-2.22628,388344,385049.02,,Locally-managed automatic monitoring,,
STK5,,,Stockport Hazel Grove,Stockport,Stockport Hazel Grove (Stockport),Urban Traffic,Greater Manchester Urban Area,12/04/2005,,53.38547,-2.129559,387633,391480,,Locally-managed automatic monitoring,,
STK6,,,Stockport Shaw Heath 2,Stockport,Stockport Shaw Heath 2 (Stockport),Urban Background,Greater Manchester Urban Area,01/10/2007,06/02/2011,53.403056,-2.161111,389593.71,389385.83,,Locally-managed automatic monitoring,,
SBAN,,,Strabane Springhill Park,Derry and Strabane,Strabane Springhill Park (Derry and Strabane),Urban Background,,26/04/2002,,54.821427,-7.453291,397204.26,235190.68,,Locally-managed automatic monitoring,,
DCSMOB01,,,Strathfoyle Bawnmore Place,Derry and Strabane,Strathfoyle Bawnmore Place (Derry and Strabane),Suburban Background,Northern Ireland,01/08/2018,,55.034322,-7.264644,421015.3,247067.6,,Locally-managed automatic monitoring,,
SUN4,,,Sunderland Trimdon Street,Sunderland,Sunderland Trimdon Street (Sunderland),Urban Traffic,North East,01/07/2015,30/06/2018,54.907415,-1.394195,557134.45,438940.57,,Locally-managed automatic monitoring,,
SUN3,,,Sunderland Trimdon Street,Sunderland,Sunderland Trimdon Street (Sunderland),Urban Traffic,North East,02/07/2018,,54.9075,-1.394444,557143.77,438924.52,,Locally-managed automatic monitoring,,
CBLY,,,Surrey Heath Camberley,Surrey Heath,Surrey Heath Camberley (Surrey Heath),Urban Traffic,South East,24/08/2006,,51.330278,-0.729167,159786.54,488636.83,,Locally-managed automatic monitoring,,
SU4,,,Sussex Mobile 13 Newhaven,Lewes,Sussex Mobile 13 Newhaven (Lewes),Urban Traffic,South East,08/02/2008,09/07/2008,50.79338,0.050483,101316.33,544614.05,,Locally-managed automatic monitoring,,
SU5,,,Sussex Mobile 14 Crawley,Crawley,Sussex Mobile 14 Crawley (Crawley),Urban Traffic,South East,01/08/2008,01/03/2012,51.127962,-0.165433,138120.2,528472.04,,Locally-managed automatic monitoring,,
SM1,,,Sussex Mobile 15 Newhaven,Lewes,Sussex Mobile 15 Newhaven (Lewes),Urban Background,South East,01/03/2012,25/05/2012,50.798751,0.053953,101920.33,544842.05,,Locally-managed automatic monitoring,,
SU7,,,Sussex Mobile 16 Warnham,Horsham,Sussex Mobile 16 Warnham (Horsham),Rural Background,South East,29/04/2009,14/12/2009,51.094629,-0.324546,134148.05,517423.02,,Locally-managed automatic monitoring,,
SU8,,,Sussex Mobile 17 Newhaven Paradise Park,Lewes,Sussex Mobile 17 Newhaven Paradise Park (Lewes),Urban Industrial,South East,10/12/2010,08/07/2011,50.800136,0.055504,102077.33,544947.05,,Locally-managed automatic monitoring,,
SX2,,,Sussex Mobile 2 North Berstead,Arun,Sussex Mobile 2 North Berstead (Arun),Urban Traffic,South East,23/06/2002,30/10/2002,50.806708,-0.702078,101597.33,491550.03,,Locally-managed automatic monitoring,,
SX4,,,Sussex Mobile 4 Adur,Adur,Sussex Mobile 4 Adur (Adur),Urban Traffic,Brighton/Worthing/Littlehampton,21/08/2003,13/02/2004,50.83287,-0.267915,105133.32,522072.04,,Locally-managed automatic monitoring,,
SX5,,,Sussex Mobile 5 Fresh Fields Rd Hastings,Hastings,Sussex Mobile 5 Fresh Fields Rd Hastings (Hastings),Urban Traffic,South East,13/02/2004,12/07/2004,50.848703,0.514576,108477.31,577110.06,,Locally-managed automatic monitoring,,
SX6,,,Sussex Mobile 6 Orchard St Chichester,Chichester,Sussex Mobile 6 Orchard St Chichester (Chichester),Urban Traffic,South East,10/08/2004,25/01/2005,50.840185,-0.78006,105226.32,485994.03,,Locally-managed automatic monitoring,,
SX7,,,Sussex Mobile 7 New Road Newhaven,Lewes,Sussex Mobile 7 New Road Newhaven (Lewes),Urban Traffic,South East,26/01/2005,01/07/2005,50.802931,0.052022,102381.33,544693.05,,Locally-managed automatic monitoring,,
SX8,,,Sussex Mobile 8 Arundel,Arun,Sussex Mobile 8 Arundel (Arun),Urban Traffic,South East,01/08/2005,02/11/2005,50.848925,-0.545356,106497.31,502500.04,,Locally-managed automatic monitoring,,
SX9,,,Sussex Mobile 9 Newhaven Kerbside,Lewes,Sussex Mobile 9 Newhaven Kerbside (Lewes),Urban Traffic,South East,10/02/2006,24/03/2006,50.797344,0.045491,101747.33,544250.05,,Locally-managed automatic monitoring,,
SM2,,,Sussex Mobile Brightwell,Lewes,Sussex Mobile Brightwell (Lewes),Urban Background,South East,20/12/2012,24/03/2013,50.800202,0.053265,102080.33,544789.05,,Locally-managed automatic monitoring,,
SU1,,,Sussex Mobile10 Stockbridge,Chichester,Sussex Mobile10 Stockbridge (Chichester),Urban Traffic,South East,05/07/2006,27/11/2006,50.827724,-0.782997,103837.32,485810.03,,Locally-managed automatic monitoring,,
SU2,,,Sussex Mobile11 Jct Whitley Rd,Eastbourne,Sussex Mobile11 Jct Whitley Rd (Eastbourne),Urban Traffic,South East,05/12/2006,26/04/2007,50.777027,0.297593,100010.34,562085.06,,Locally-managed automatic monitoring,,
SU3,,,Sussex Mobile12 Cowfold,Horsham,Sussex Mobile12 Cowfold (Horsham),Urban Traffic,South East,23/07/2007,03/12/2007,50.989094,-0.272394,122497.26,521350.04,,Locally-managed automatic monitoring,,
SU6,,,Sussex Mobile15 Chichester County Hall,Chichester,Sussex Mobile15 Chichester County Hall (Chichester),Urban Background,South East,20/03/2009,10/12/2010,50.837875,-0.782804,104966.32,485805.03,,Locally-managed automatic monitoring,,
ST8,,,Sutton - Beddington Lane ,Sutton,Sutton - Beddington Lane  (Sutton),Urban Industrial,Greater London Urban Area,04/04/2012,,51.383565,-0.136418,166594.1,529781.05,,Locally-managed automatic monitoring,,
ST5,,,Sutton - Beddington Lane north,Sutton,Sutton - Beddington Lane north (Sutton),Urban Industrial,Greater London Urban Area,08/12/2005,,51.389287,-0.141662,167221.09,529400.05,,Locally-managed automatic monitoring,,
ST3,,,Sutton - Carshalton,Sutton,Sutton - Carshalton (Sutton),Suburban Background,Greater London Urban Area,05/05/1995,13/07/2016,51.365318,-0.165936,164513.18,527777.82,,Locally-managed automatic monitoring,,
ST2,,,Sutton - North Cheam,Sutton,Sutton - North Cheam (Sutton),Urban Background,Greater London Urban Area,25/04/1995,03/05/2002,51.377189,-0.222044,165737.1,523840.04,,Locally-managed automatic monitoring,,
ST1,,,Sutton - Robin Hood School,Sutton,Sutton - Robin Hood School (Sutton),Urban Traffic,Greater London Urban Area,01/05/1995,26/04/2002,51.365744,-0.195563,164509.39,525714.28,,Locally-managed automatic monitoring,,
ST7,,,Sutton - Therapia Lane,Sutton,Sutton - Therapia Lane (Sutton),Urban Industrial,Greater London Urban Area,10/02/2010,10/02/2012,51.385839,-0.13634,166847.1,529780.05,,Locally-managed automatic monitoring,,
ST4,,,Sutton - Wallington,Sutton,Sutton - Wallington (Sutton),Urban Traffic,Greater London Urban Area,19/07/2002,,51.35866,-0.149724,163801.11,528925.05,,Locally-managed automatic monitoring,,
ST6,,,Sutton - Worcester Park,Sutton,Sutton - Worcester Park (Sutton),Urban Traffic,Greater London Urban Area,05/11/2008,,51.377923,-0.240414,165787.86,522559.65,,Locally-managed automatic monitoring,,
ZW7,,,Swale Canterbury Road,Swale,Swale Canterbury Road (Swale),Urban Traffic,South East,11/07/2011,14/07/2016,51.338062,0.747762,163470,591491,,Locally-managed automatic monitoring,,
ZW6,,,Swale Newington 3,Swale,Swale Newington 3 (Swale),Urban Traffic,South East,11/01/2011,07/04/2021,51.352025,0.667731,164817,585861,,Locally-managed automatic monitoring,,
ZW10,,,Swale Newington 4,Swale,Swale Newington 4 (Swale),Urban Traffic,South East,07/04/2021,,51.35172,0.669281,164786.7,585970,,Locally-managed automatic monitoring,,
ZW3,,,Swale Ospringe Roadside 2,Swale,Swale Ospringe Roadside 2 (Swale),Urban Traffic,South East,15/03/2006,,51.311844,0.873975,160892,600395,,Locally-managed automatic monitoring,,
ZW1,,,Swale Roadside,Swale,Swale Roadside (Swale),Urban Traffic,South East,14/08/2003,01/08/2008,51.311939,0.871197,160895,600201,,Locally-managed automatic monitoring,,
ZW2,,,Swale Sheerness,Swale,Swale Sheerness (Swale),Urban Background,South East,14/08/2003,09/11/2010,51.440033,0.758652,174836.2,591822.56,,Locally-managed automatic monitoring,,
ZW8,,,Swale St Pauls Street,Swale,Swale St Pauls Street (Swale),Urban Traffic,South East,21/01/2013,,51.346805,0.730639,164397.52,590262.29,,Locally-managed automatic monitoring,,
SWA9,,,Swansea Cwm Level Park,Swansea,Swansea Cwm Level Park (Swansea),Urban Background,Swansea Urban Area,28/11/2008,,51.645733,-3.939392,195886,265910,,Locally-managed automatic monitoring,,
SWA7,,,Swansea Hafod DOAS,Swansea,Swansea Hafod DOAS (Swansea),Urban Traffic,Swansea Urban Area,01/02/2004,,51.632927,-3.93854,194460,265931,,Locally-managed automatic monitoring,,
SWA11,,,Swansea Morfa Road NOX,Swansea,Swansea Morfa Road NOX (Swansea),Urban Traffic,Swansea Urban Area,28/07/2017,,51.626379,-3.938637,193732,265905,,Locally-managed automatic monitoring,,
SWA4,,,Swansea Morfa Roadside,Swansea,Swansea Morfa Roadside (Swansea),Urban Traffic,South Wales,04/08/2000,12/05/2011,51.641481,-3.937329,195409,266040,,Locally-managed automatic monitoring,,
SWA5,,,Swansea Morriston Roadside,Swansea,Swansea Morriston Roadside (Swansea),Urban Traffic,Swansea Urban Area,17/10/2000,,51.662122,-3.921301,197675,267209,,Locally-managed automatic monitoring,,
SWA12,,,Swansea Port Tennant Roadside,Swansea,Swansea Port Tennant Roadside (Swansea),Urban Traffic,Swansea Urban Area,20/12/2018,,51.621638,-3.927318,193184,266675,,Locally-managed automatic monitoring,,
SWA8,,,Swansea St Thomas DOAS,Swansea,Swansea St Thomas DOAS (Swansea),Urban Traffic,South Wales,04/05/2005,,51.625711,-3.934461,193650,266192,,Locally-managed automatic monitoring,,
SW10,,,Swansea Station Court High Street,Swansea,Swansea Station Court High Street (Swansea),Urban Traffic,Swansea Urban Area,07/07/2014,,51.625921,-3.941502,193686,265705,,Locally-managed automatic monitoring,,
TS001,,,Tameside A635 Manchester Road,Tameside,Tameside A635 Manchester Road (Tameside),Urban Traffic,Greater Manchester Urban Area,11/09/2020,,53.482437,-2.113912,398419,392538,,Locally-managed automatic monitoring,,
TAM1,,,Tameside Mottram Moor,Tameside,Tameside Mottram Moor (Tameside),Urban Traffic,North West & Merseyside,01/09/2013,,53.458994,-2.005694,395804.88,399719.35,,Locally-managed automatic monitoring,,
TAME,,,Tameside Two Trees School,Tameside,Tameside Two Trees School (Tameside),Urban Background,Greater Manchester Urban Area,09/12/1998,04/11/2016,53.445847,-2.098802,394346.78,393535.09,,Locally-managed automatic monitoring,,
NEW1,,,Tant Avenue,Newham,Tant Avenue (Newham),Urban Background,Greater London Urban Area,14/06/1998,14/03/2003,51.514764,0.011989,181456.4,539706.83,,Locally-managed automatic monitoring,,
ZH3,,,Thanet Airport,Thanet,Thanet Airport (Thanet),Urban Background,South East,07/03/2003,07/04/2016,51.338079,1.385915,165331,635931,,Locally-managed automatic monitoring,,
ZH5,,,Thanet Birchington Roadside,Thanet,Thanet Birchington Roadside (Thanet),Urban Traffic,South East,19/03/2007,,51.373795,1.307394,169052,630284,,Locally-managed automatic monitoring,,
ZH2,,,Thanet Margate Background,Thanet,Thanet Margate Background (Thanet),Urban Background,South East,14/02/2001,31/03/2013,51.378685,1.382144,169833.15,635460.13,,Locally-managed automatic monitoring,,
ZH4,,,Thanet Ramsgate Roadside,Thanet,Thanet Ramsgate Roadside (Thanet),Urban Traffic,South East,01/01/2003,,51.337905,1.422537,165429.99,638481.98,,Locally-managed automatic monitoring,,
ZH1,,,Thanet Rural,Thanet,Thanet Rural (Thanet),Rural Background,South East,23/11/1998,13/05/2008,51.320886,1.31379,163190,630995,,Locally-managed automatic monitoring,,
HB125,,,Three Rivers Rickmansworth,Three Rivers,Three Rivers Rickmansworth (Three Rivers),Urban Background,Greater London Urban Area,28/02/1999,01/11/2011,51.639167,-0.476944,194471.82,505494.14,,Locally-managed automatic monitoring,,
THUR,,,Thurrock,Thurrock,Thurrock (Thurrock),Urban Background,Eastern,01/09/1996,,51.47707,0.317969,177893.1,561068.85,,Locally-managed automatic monitoring,,
TK8,,,Thurrock - London Road,Purfleet Thurrock,Thurrock - London Road (Purfleet) (Thurrock),Urban Traffic,Eastern,04/04/2008,,51.478697,0.255133,177937.74,556700.11,,Locally-managed automatic monitoring,,
TK2,,,Thurrock - Purfleet,Thurrock,Thurrock - Purfleet (Thurrock),Urban Traffic,Eastern,27/05/2003,18/03/2008,51.478573,0.255673,177925.06,556738.06,,Locally-managed automatic monitoring,,
GOS1,,,Tichborne Way,Gosport,Tichborne Way (Gosport),Urban Traffic,Portsmouth Urban Area,16/05/2012,30/06/2019,50.821611,-1.163939,102784.95,458988.4,,Locally-managed automatic monitoring,,
ZT7,,,Tonbridge & Malling Wateringbury Roadside,Tonbridge,Tonbridge & Malling Wateringbury Roadside (Tonbridge),Urban Traffic,South East,25/06/2018,,51.255556,0.422778,153498.1,569160.4,,Locally-managed automatic monitoring,,
ZT1,,,Tonbridge Roadside,Tonbridge,Tonbridge Roadside (Tonbridge),Urban Traffic,South East,30/03/1997,27/09/2004,51.192417,0.271394,146140,558815,,Locally-managed automatic monitoring,,
ZT5,,,Tonbridge Roadside 2,Tonbridge,Tonbridge Roadside 2 (Tonbridge),Urban Traffic,South East,10/07/2007,27/06/2020,51.192814,0.272301,146186,558876,,Locally-managed automatic monitoring,,
ZT8,,,"Tonbridge and Malling, Borough Green Roadside",Tonbridge,"Tonbridge and Malling, Borough Green Roadside (Tonbridge)",Urban Traffic,South East,01/07/2021,,51.29253,0.301724,157337.7,560585.2,,Locally-managed automatic monitoring,,
TH3,,,Tower Hamlets - Bethnal Green,Tower Hamlets,Tower Hamlets - Bethnal Green (Tower Hamlets),Urban Background,Greater London Urban Area,24/10/1999,02/11/2009,51.526737,-0.053869,182664.25,535101.99,,Locally-managed automatic monitoring,,
TH004,,,Tower Hamlets - Blackwall,Tower Hamlets,Tower Hamlets - Blackwall (Tower Hamlets),Urban Traffic,Greater London Urban Area,08/09/2006,,51.515046,-0.008418,181449,538290,,Locally-managed automatic monitoring,,
TH001,,,Tower Hamlets - Millwall Park,Tower Hamlets,Tower Hamlets - Millwall Park (Tower Hamlets),Urban Background,Greater London Urban Area,06/07/2015,,51.489134,-0.012977,178559,538052,,Locally-managed automatic monitoring,,
TH1,,,Tower Hamlets - Poplar,Tower Hamlets,Tower Hamlets - Poplar (Tower Hamlets),Urban Background,Greater London Urban Area,04/01/1994,02/07/2013,51.510012,-0.019866,180867.68,537510.94,,Locally-managed automatic monitoring,,
TH2P,,,Tower Hamlets - Roadside,Tower Hamlets,Tower Hamlets - Roadside (Tower Hamlets),Urban Traffic,Greater London Urban Area,01/04/2019,,51.52253,-0.042155,182218.1,535927.1,,Locally-managed automatic monitoring,,
TH002,,,Tower Hamlets - Victoria Park,Tower Hamlets,Tower Hamlets - Victoria Park (Tower Hamlets),Urban Background,Greater London Urban Area,25/07/2012,,51.540519,-0.033307,184235.03,536487.05,,Locally-managed automatic monitoring,,
TRF2,,,Trafford A56,Trafford,Trafford A56 (Trafford),Urban Traffic,Greater Manchester Urban Area,03/09/2004,,53.442476,-2.311421,394012.41,379411.55,,Locally-managed automatic monitoring,,
TRAF,,,Trafford Moss Park,Trafford,Trafford Moss Park (Trafford),Urban Background,Greater Manchester Urban Area,01/11/1998,,53.448876,-2.320941,394727,378782,,Locally-managed automatic monitoring,,
TRF3,,,Trafford Wellacre Academy,Trafford,Trafford Wellacre Academy (Trafford),Urban Background,Greater Manchester Urban Area,20/09/2013,,53.446366,-2.396556,394473.27,373758.96,,Locally-managed automatic monitoring,,
ZT4,,,Tunbridge Wells A26 Roadside,Tunbridge Wells,Tunbridge Wells A26 Roadside (Tunbridge Wells),Urban Traffic,South East,20/06/2005,,51.151783,0.2614,141600.22,558255.65,,Locally-managed automatic monitoring,,
ZT3,,,Tunbridge Wells Southborough,Tunbridge Wells,Tunbridge Wells Southborough (Tunbridge Wells),Rural Background,South East,01/01/1997,25/05/2000,51.152445,0.243262,141635,556985,,Locally-managed automatic monitoring,,
ZT2,,,Tunbridge Wells Town Centre,Tunbridge Wells,Tunbridge Wells Town Centre (Tunbridge Wells),Urban Background,South East,30/03/1997,24/01/2012,51.132986,0.26393,139515.6,558496.91,,Locally-managed automatic monitoring,,
TWYN,,,Twynyrodyn,Merthyr Tydfil,Twynyrodyn (Merthyr Tydfil),Urban Industrial,South Wales,01/01/2005,,51.744444,-3.365833,205966,305798,,Locally-managed automatic monitoring,,
